input,label
"We need a CRM for a 200-seat sales org. Budget $120k, deployment in Q1. Can your team demo next week?",YES
Looking to replace Zendesk with an omnichannel support suite for 50 agents. Shortlist this month.,YES
Our CISO asked me to evaluate 3 vendors for email security. Annual contract $80k–$100k.,YES
RFP for observability platform across 300 microservices. Procurement starts in 3 weeks.,YES
We plan to migrate marketing automation from legacy. Need pricing for 1M contacts.,YES
"Exploring vendor for SOC2-compliant data labeling—team of 25 annotators, contract by Dec.",YES
We’re expanding to APAC and need a multi-currency billing system. Can you support INR/SGD?,YES
VP Engineering here. Interested in code search for 400 repos; PoC in the next 2 weeks.,YES
Finance approved budget $60k for a QA automation tool. Need enterprise SSO and audit.,YES
Looking for AI chatbot for banking—must meet RBI guidelines. Pilot in Jan.,YES
"We want vendor risk platform with Jira integration. Pilot team of 30, paid plan acceptable.",YES
"Director IT: Need MDM for 700 devices, enforce policies, looking to finalize next month.",YES
Security team wants DLP with Google Workspace integration. Budget range mid-tier.,YES
Procurement: comparing 4 LLM providers for internal knowledge assistant. Can we get enterprise quote?,YES
We require uptime SLA 99.9% and on-prem option. Happy to discuss pricing this week.,YES
Need warehouse analytics with dbt + Snowflake connectors. Can we schedule a technical deep dive?,YES
"Our sales ops needs territory planning tooling. Stakeholders assembled, decision this quarter.",YES
Evaluating feature flag platform for 15 squads. SOC2 Type II and SSO required.,YES
Head of Growth here—seeking experimentation platform with guardrails. Budget ~₹35L.,YES
Upgrade to enterprise plan for 500 seats. Please share MSA and DPA.,YES
I’m a student doing a project—can I get free access for 2 weeks?,NO
Just curious about AI; do you have a blog subscription?,NO
Can I scrape your website for my research? Not looking to buy.,NO
We already signed with another vendor—just wanted to say your UI looks great!,NO
Looking for an internship; who should I email?,NO
Do you have a free version forever? I can’t pay right now.,NO
Please send stickers and swag to our office address.,NO
I’m writing a blog post on CRMs—can someone answer 3 questions?,NO
Is there an affiliate program for creators?,NO
Can your product generate anime avatars? Just for fun.,NO
Do you offer classroom discounts for high school teachers?,NO
I want a tutorial for my YouTube channel. No purchase planned.,NO
We need a refund for last month—billing charged twice.,NO
How do I export my data? Not renewing the plan.,NO
Where is your company located? Curious about your story.,NO
"Exploring options for a small helpdesk, 3 agents. Do you have a free tier?",NO
Considering CRM change later this year; can you share a comparison vs HubSpot?,NO
Heard about your A/B testing tool—what’s the learning curve for a team of 2?,NO
Is SAML included in the basic plan? We have under 10 users.,NO
Can I test your API on a free plan first? Might upgrade next year.,NO
We’re moving from spreadsheets to an FP&A tool. CFO asked for vendor demos this fortnight.,YES
Need contract lifecycle management with e-sign and audit trails. Legal will review your redlines.,YES
"Retail chain, 120 stores—seeking computer vision loss prevention. Budget approved for pilot.",YES
HRIS integration with Workday is mandatory. We have 2 weeks to shortlist vendors.,YES
SRE team needs incident response tooling with PagerDuty integration. Paid pilot okay.,YES
Banking client requires air‑gapped deployment. Can we discuss enterprise pricing?,YES
Looking for multilingual support bot for 5 languages. SLA and analytics required.,YES
We have 1M monthly users—need feature flag rollouts with metrics. Buying this quarter.,YES
CTO here. Interested in fine‑tuned LLM for internal docs. Can you support VPC deployment?,YES
Ops wants automated invoice extraction; we can start with 50k documents/month.,YES
How do I reset my password? I can’t log in.,NO
Press inquiry: can we feature your founder in a podcast?,NO
Is there a community Slack I can join?,NO
We’d like free credits for our hackathon participants.,NO
Where can I find your brand guidelines and logo?,NO
Budget approved. Need contract today.,YES
"Interested, but only if it’s free.",NO
Pilot with 20 seats this month. Send quote.,YES
Thinking about it… maybe later.,NO
"Gov RFP: endpoint protection for 5,000 devices. FedRAMP or equivalent required.",YES
Healthcare client—HIPAA compliance mandatory. PoC next month.,YES
EU‑based team needs GDPR DPA and SCCs. Procurement loop is open.,YES
I want to learn your tool for my resume. Any tutorials?,NO
CEO asked me to shortlist 3 BI tools. Can we get a sandbox and pricing?,YES
Looking for Stripe‑native billing alternatives—finance wants quotes.,YES
"Just exploring AI, no budget yet. Send updates.",NO
Legal wants to review your DPA before we proceed to PO.,YES
Comparing your solution with free open‑source options for a side project.,NO
"SaaS for 80 seats. Need SSO, RBAC, and data export. Ready to buy this quarter.",YES
Any coupon codes for students?,NO
MSP partner evaluating vendors for 10 clients. Can we get partner pricing?,YES
Can you sponsor our meetup?,NO
